Date,Year,CARTAGO,GUANACASTE,HEREDIA,LIMON,PUNTARENAS,SANJOSE
1/1/2016,2016,297,420,409,399,642,1465
2/1/2016,2016,349,425,435,464,611,1572
3/1/2016,2016,342,376,418,460,619,1684
4/1/2016,2016,326,328,406,441,639,1684
5/1/2016,2016,344,359,541,552,669,1818
6/1/2016,2016,300,358,464,541,570,1725
7/1/2016,2016,386,442,455,450,681,1961
8/1/2016,2016,369,401,442,458,652,1936
9/1/2016,2016,332,353,515,424,612,1910
10/1/2016,2016,370,367,520,419,652,2050
11/1/2016,2016,340,367,507,406,614,1841
12/1/2016,2016,321,407,575,384,673,2082
1/1/2016,2017,285,460,500,376,638,1716
2/1/2016,2017,338,347,434,383,643,1703
3/1/2016,2017,352,456,519,478,612,2049
4/1/2016,2017,324,384,421,426,592,1847
5/1/2016,2017,324,431,498,449,581,2032
6/1/2016,2017,356,403,477,417,658,2069
7/1/2016,2017,279,417,388,363,541,1739
8/1/2016,2017,378,426,432,470,595,2010
9/1/2016,2017,300,353,438,455,604,1963
10/1/2016,2017,354,398,499,424,524,2086
11/1/2016,2017,411,375,576,438,571,2056
12/1/2016,2017,378,370,496,458,640,2008
1/1/2016,2018,360,475,437,397,642,1825
2/1/2016,2018,374,366,473,438,604,1863
3/1/2016,2018,367,426,487,490,649,1994
4/1/2016,2018,412,392,423,441,616,2022
5/1/2016,2018,397,362,488,435,592,1957
6/1/2016,2018,383,405,506,424,515,2060
7/1/2016,2018,330,452,532,428,618,2047
8/1/2016,2018,374,419,550,509,622,2028
9/1/2016,2018,388,378,491,474,608,2110
10/1/2016,2018,395,343,512,568,525,2017
11/1/2016,2018,453,341,457,480,611,2050
12/1/2016,2018,340,352,445,437,648,1883
1/1/2016,2019,364,396,395,456,614,1748
2/1/2016,2019,338,324,382,403,532,1751
3/1/2016,2019,424,411,384,519,601,2011
4/1/2016,2019,339,343,387,477,561,1828
5/1/2016,2019,339,386,447,452,551,2029
6/1/2016,2019,351,329,459,404,603,1943
7/1/2016,2019,375,396,403,448,606,1883
8/1/2016,2019,360,482,448,458,648,2082
9/1/2016,2019,365,345,390,449,540,1919
10/1/2016,2019,370,312,453,507,546,1941
11/1/2016,2019,339,389,416,483,554,1876
12/1/2016,2019,330,394,460,488,564,1813